"Year","StateAbbr","StateDesc","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text","Geolocation"
"2023","OK","Oklahoma","Muskogee","BRFSS","Disability","Self-care disability among adults","%","Age-adjusted prevalence","5.1",,,"4.5","5.8","66,677","50,493","40101","DISABLT","SELFCARE","AgeAdjPrv","Self-care Disability","POINT (-95.3797854950482 35.6164240462291)"
"2023","OK","Oklahoma","Pawnee","BRFSS","Health Risk Behaviors","No leisure-time physical activity among adults","%","Crude prevalence","33.3",,,"27.8","39.0","15,864","12,110","40117","RISKBEH","LPA","CrdPrv","Physical Inactivity","POINT (-96.6992083052146 36.3167919210442)"
"2023","OK","Oklahoma","Wagoner","BRFSS","Health Outcomes","Depression among adults","%","Crude prevalence","24.5",,,"20.9","28.2","89,280","68,338","40145","HLTHOUT","DEPRESSION","CrdPrv","Depression","POINT (-95.5211844530667 35.9615432025713)"
"2022","OK","Oklahoma","Muskogee","BRFSS","Prevention","Visited dentist or dental clinic in the past year among adults","%","Crude prevalence","53.9",,,"50.0","57.6","66,677","50,493","40101","PREVENT","DENTAL","CrdPrv","Dental Visit","POINT (-95.3797854950482 35.6164240462291)"
"2022","OK","Oklahoma","Wagoner","BRFSS","Health Risk Behaviors","Short sleep duration among adults","%","Age-adjusted prevalence","39.7",,,"33.6","46.2","89,280","68,338","40145","RISKBEH","SLEEP","AgeAdjPrv","Short Sleep Duration","POINT (-95.5211844530667 35.9615432025713)"
"2023","OK","Oklahoma","Woods","BRFSS","Health Outcomes","Depression among adults","%","Age-adjusted prevalence","26.6",,,"22.9","30.8","8,564","6,777","40151","HLTHOUT","DEPRESSION","AgeAdjPrv","Depression","POINT (-98.8645038210662 36.7669182017957)"
"2022","OK","Oklahoma","Custer","BRFSS","Prevention","Colorectal cancer screening among adults aged 45–75 years","%","Age-adjusted prevalence","53.1",,,"47.7","58.4","28,266","21,204","40039","PREVENT","COLON_SCREEN","AgeAdjPrv","Colorectal Cancer Screening","POINT (-99.0014382075911 35.6388260290226)"
"2023","OK","Oklahoma","Ottawa","BRFSS","Health-Related Social Needs","Received food stamps in the past 12 months among adults","%","Crude prevalence","20.5",,,"17.0","24.3","30,287","22,537","40115","SOCLNEED","FOODSTAMP","CrdPrv","Food Stamps","POINT (-94.8106076020458 36.8356615128431)"
"2023","OK","Oklahoma","Cleveland","BRFSS","Disability","Independent living disability among adults","%","Age-adjusted prevalence","8.1",,,"6.9","9.4","301,193","240,814","40027","DISABLT","INDEPLIVE","AgeAdjPrv","Independent Living Disability","POINT (-97.3263165055223 35.2025439402736)"
"2022","OK","Oklahoma","Ellis","BRFSS","Prevention","Mammography use among women aged 50-74 years","%","Age-adjusted prevalence","67.2",,,"57.6","75.9","3,648","2,849","40045","PREVENT","MAMMOUSE","AgeAdjPrv","Mammography","POINT (-99.7547202594407 36.2183250916209)"
